Distance_m,Elevation_m,Elevation_cm,Section
0.00,0.0000,0.0,Street
0.48,0.0000,0.0,Street
0.96,0.0000,0.0,Street
1.44,0.0000,0.0,Street
1.92,0.0000,0.0,Street
2.40,0.0000,0.0,Street
2.88,0.0000,0.0,Street
3.36,0.0000,0.0,Street
3.84,0.0000,0.0,Street
4.31,0.0000,0.0,Street
4.79,0.0000,0.0,Street
5.27,-0.0014,-0.1,Ramp
5.75,-0.0109,-1.1,Ramp
6.23,-0.0292,-2.9,Ramp
6.71,-0.0564,-5.6,Ramp
7.19,-0.0925,-9.3,Ramp
7.67,-0.1375,-13.8,Ramp
8.15,-0.1915,-19.2,Ramp
8.63,-0.2546,-25.5,Ramp
9.11,-0.3267,-32.7,Ramp
9.59,-0.4081,-40.8,Ramp
10.07,-0.4987,-49.9,Ramp
10.55,-0.5986,-59.9,Ramp
11.03,-0.7081,-70.8,Ramp
11.51,-0.8272,-82.7,Ramp
11.99,-0.9560,-95.6,Ramp
12.46,-1.0947,-109.5,Ramp
12.94,-1.2434,-124.3,Ramp
13.42,-1.4024,-140.2,Ramp
13.90,-1.5718,-157.2,Ramp
14.38,-1.7518,-175.2,Ramp
14.86,-1.9316,-193.2,Ramp
15.34,-2.1009,-210.1,Ramp
15.82,-2.2597,-226.0,Ramp
16.30,-2.4082,-240.8,Ramp
16.78,-2.5467,-254.7,Ramp
17.26,-2.6753,-267.5,Ramp
17.74,-2.7942,-279.4,Ramp
18.22,-2.9034,-290.3,Ramp
18.70,-3.0032,-300.3,Ramp
19.18,-3.0937,-309.4,Ramp
19.66,-3.1748,-317.5,Ramp
20.14,-3.2468,-324.7,Ramp
20.61,-3.3096,-331.0,Ramp
21.09,-3.3635,-336.3,Ramp
21.57,-3.4083,-340.8,Ramp
22.05,-3.4442,-344.4,Ramp
22.53,-3.4712,-347.1,Ramp
23.01,-3.4894,-348.9,Ramp
23.49,-3.4987,-349.9,Ramp
23.97,-3.5000,-350.0,Garage
24.45,-3.5000,-350.0,Garage
24.93,-3.5000,-350.0,Garage
25.41,-3.5000,-350.0,Garage
25.89,-3.5000,-350.0,Garage
26.37,-3.5000,-350.0,Garage
26.85,-3.5000,-350.0,Garage
27.33,-3.5000,-350.0,Garage
27.81,-3.5000,-350.0,Garage
28.29,-3.5000,-350.0,Garage
