Arc_Distance_m,Angle_deg,X_m,Y_m,Depth_m,Depth_cm,Slope_deg,Inner_X_m,Inner_Y_m,Outer_X_m,Outer_Y_m
0.000,0.00,6.7500,0.0000,0.0000,0.00,0.05,5.2737,0.0000,7.8511,0.0000
0.500,4.24,6.7315,0.4995,-0.0180,-1.80,4.06,5.2593,0.3903,7.8295,0.5810
1.000,8.49,6.6761,0.9963,-0.0697,-6.97,7.69,5.2159,0.7784,7.7651,1.1589
1.500,12.73,6.5840,1.4877,-0.1516,-15.16,10.87,5.1440,1.1623,7.6580,1.7304
2.000,16.98,6.4559,1.9709,-0.2602,-26.02,13.61,5.0439,1.5398,7.5089,2.2923
2.500,21.22,6.2923,2.4432,-0.3950,-39.50,15.95,4.9161,1.9089,7.3187,2.8418
3.000,25.46,6.0942,2.9022,-0.5468,-54.68,17.83,4.7614,2.2675,7.0883,3.3756
3.500,29.71,5.8627,3.3453,-0.7147,-71.47,19.32,4.5805,2.6136,6.8191,3.8909
4.000,33.95,5.5991,3.7700,-0.8953,-89.53,20.42,4.3745,2.9454,6.5124,4.3849
4.500,38.20,5.3047,4.1740,-1.0850,-108.50,21.16,4.1445,3.2611,6.1700,4.8549
5.000,42.44,4.9813,4.5551,-1.2803,-128.03,21.55,3.8918,3.5589,5.7938,5.2982
5.500,46.69,4.6305,4.9113,-1.4777,-147.77,21.58,3.6178,3.8371,5.3858,5.7124
6.000,50.93,4.2544,5.2405,-1.6738,-167.38,21.27,3.3239,4.0944,4.9483,6.0953
6.500,55.17,3.8549,5.5410,-1.8650,-186.50,20.61,3.0118,4.3291,4.4837,6.4448
7.000,59.42,3.4342,5.8111,-2.0516,-205.16,19.56,2.6831,4.5401,3.9944,6.7590
7.500,63.66,2.9947,6.0493,-2.2222,-222.22,18.15,2.3398,4.7263,3.4832,7.0361
8.000,67.91,2.5388,6.2543,-2.3774,-237.74,16.35,1.9836,4.8865,2.9530,7.2745
8.500,72.15,2.0690,6.4251,-2.5136,-251.36,14.13,1.6165,5.0199,2.4065,7.4731
9.000,76.39,1.5879,6.5606,-2.6274,-262.74,11.49,1.2406,5.1257,1.8469,7.6307
9.500,80.64,1.0980,6.6601,-2.7153,-271.53,8.41,0.8578,5.2035,1.2771,7.7465
10.000,84.88,0.6021,6.7231,-2.7737,-277.37,4.87,0.4704,5.2527,0.7003,7.8198
10.500,89.13,0.1029,6.7492,-2.7992,-279.92,0.90,0.0804,5.2731,0.1197,7.8501
